th,delay,loss
1378648,56,0
1701544,32,0
1633040,38,0
1525544,36,0
1807496,32,0
1953672,43,0
1760024,49,0
1666384,73,0
1720440,160,0
1043848,201,1
1467864,194,0
1903400,205,0
1498352,207,0
1623208,236,0
1697200,268,0
1790976,298,0
1763120,326,0
1803360,359,0
1797664,390,0
1753784,425,0
1805144,426,0
1716752,426,0
1759016,426,0
1803864,408,0
1678016,372,0
1770144,340,0
1797760,299,0
1718128,276,0
1769280,257,0
1763880,241,0
1772264,241,0
1748680,223,0
1749776,223,0
1618800,206,0
1185256,206,0
1285416,206,0
1663280,206,0
1775232,206,0
1698736,209,0
1766544,221,0
1733640,221,0
1754144,221,0
1756832,221,0
1770144,221,0
1730264,221,0
1773144,221,0
1818984,221,0
1768560,221,0
1732704,221,0
1775488,221,0
1758496,221,0
1548480,221,0
1760232,221,0
1875856,221,0
1881328,221,0
1642552,206,0
1713832,206,0
1757776,206,0
1782224,206,0
1765984,206,0
1759792,206,0
1728736,206,0
1697368,188,0
1771136,188,0
1732896,173,0
1714880,173,0
1715744,173,0
1809816,173,0
1741248,158,0
1703728,158,0
1868280,158,0
1790568,158,0
1793880,158,0
1734152,158,0
1788496,158,0
1734832,158,0
1776008,158,0
1814728,158,0
1795016,158,0
1761416,158,0
1755824,158,0
1749568,158,0
1765856,158,0
1751976,158,0
1729352,158,0
1751968,146,0
1754072,144,0
1756968,140,0
1723624,138,0
1790416,138,0
1770960,139,0
1763264,139,0
1781680,139,0
1796536,136,0
1798680,140,0
1774800,139,0
1749680,142,0
1738176,151,0
1752136,155,0
1738512,155,0
1663048,158,0
1458136,153,0
1728952,150,0
1973008,149,0
1763168,145,0
1704352,146,0
1728104,140,0
1724400,136,0
1760672,135,0
1762032,134,0
1761912,142,0
1741096,140,0
1736232,136,0
1778360,134,0
1747256,135,0
1810136,139,0
1783776,135,0
1786840,139,0
1791992,142,0
1717392,142,0
1783624,153,0
1769864,150,0
1830640,153,0
1822568,151,0
1779784,142,0
1711536,137,0
1706240,137,0
1750400,137,0
1772528,137,0
1830064,137,0
1810960,137,0
1806168,137,0
1737856,143,0
1727920,147,0
1710936,146,0
1797920,145,0
1752472,140,0
1722216,137,0
1779992,142,0
1797192,139,0
1709656,142,0
1780872,139,0
1816608,131,0
1781448,131,0
1813184,144,0
1730216,139,0
1769568,144,0
1803904,143,0
1776840,143,0
1802752,141,0
1770464,147,0
1455928,145,0
1853768,144,0
1841032,143,0
1740160,145,0
1770936,152,0
1766760,150,0
1794800,152,0
1740552,163,0
1164048,198,0
1890184,195,0
1801592,209,0
1670496,228,0
1786264,261,0
1769088,279,0
1741808,281,0
1754664,300,0
1742688,300,0
1769440,300,0
1760744,300,0
1751144,279,0
1732288,256,0
1746040,236,0
1721544,215,0
1784248,215,0
1792784,200,0
1770600,200,0
1742464,157,0
1761808,165,0
1728712,168,0
1728656,163,0
1750264,157,0
1736368,150,0
1815040,147,0
1786144,141,0
1808472,137,0
1784472,142,0
1759936,140,0
1731304,138,0
1731560,127,0
1750352,133,0
1754872,142,0
1778448,142,0
1812008,142,0
1738528,142,0
1741824,142,0
1785048,144,0
1759816,144,0
1771984,142,0
1790216,142,0
1805408,142,0
1684440,142,0
1581744,142,0
1750816,142,0
1886072,142,0
1955824,142,0
1672728,156,0
1674080,165,0
1694656,162,0
1746288,155,0
1723040,156,0
1749528,156,0
1698168,157,0
1600480,176,0
441928,203,0
1249384,206,0
1188576,210,0
1176944,234,0
1566992,266,0
1755176,288,0
1804472,297,0
1808896,303,0
1797680,316,0
1788000,316,0
1729208,316,0
1749528,316,0
1806792,291,0
1752936,275,0
1807648,275,0
1717728,251,0
1777568,228,0
1771384,210,0
1743248,210,0
1788704,194,0
1783080,194,0
1790808,194,0
1764424,194,0
1667848,194,0
1736536,194,0
1748016,194,0
1788760,194,0
1756176,194,0
1781608,195,0
1803680,207,0
1749480,216,0
1807088,217,0
1723832,213,0
1729328,233,0
1754784,253,0
1752264,253,0
1753240,263,0
1779112,293,0
1561424,319,0
1832224,347,0
1751288,373,0
1793056,382,0
1791104,359,0
1732728,379,0
1782280,385,0
1773848,400,0
1761472,411,0
1697040,416,0
1714928,416,0
1761344,416,0
1747688,416,0
1758952,400,0
1725896,400,0
1745384,357,0
1733456,357,0
1731400,357,0
1784520,357,0
1829640,357,0
1714632,357,0
1750328,357,0
1755568,357,0
1778224,357,0
1757008,357,0
1743800,357,0
1748608,357,0
1773864,357,0
1772120,357,0
1752344,357,0
1755712,357,0
1703288,357,0
1798184,357,0
1767040,357,0
1722936,357,0
1756080,297,0
1750896,265,0
1794488,281,0
1732456,232,0
1807488,242,0
1745080,259,0
1808816,274,0
1785856,279,0
1774640,279,0
1819176,279,0
1799520,279,0
1803640,279,0
