th,loss,delay
11787392,0.0,0.0
12383360,0.0,0.0
12848896,0.0,0.0
13068928,0.0,0.0
12887360,0.0,0.0
12944896,0.0,0.0
12970240,0.0,0.0
12694016,0.0,0.0
12695360,0.0,0.0
12440896,0.0,0.0
12406016,0.0,0.0
12071360,0.0,0.0
11998016,0.0,0.0
11567360,0.0,0.0
11518016,0.0,0.0
11003136,0.0,0.0
10679360,0.0,0.0
10032256,0.0,0.0
9371136,0.0,0.0
8566912,0.0,0.0
8682880,0.0,0.0
9633792,0.0,0.0
10403136,0.0,0.0
11175168,0.0,0.0
10137792,0.0,0.0
10872704,0.0,0.0
10909824,0.0,0.0
11524736,0.0,0.0
11426048,0.0,0.0
12095360,0.0,0.0
