bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1332168,2163368,0,0,1700000,1378648,192.7,0,0,74,56,56,42
1701888,2487918,0,0,1700000,1701544,406.0,0,0,244,32,32,17
1604896,2743790,0,0,1700000,1633040,412.4,0,0,416,38,38,23
1489008,2743790,0,0,1700000,1525544,352.7,0,0,585,37,36,22
1796808,2870510,0,0,1700000,1807496,432.9,0,0,781,32,32,17
1873952,3091183,0,0,1700000,1953672,471.2,0,0,1002,47,43,32
1716616,3092197,0,0,1700000,1760024,441.6,0,0,1273,49,49,35
1608456,3092197,0,0,1700000,1666384,409.3,0,0,1565,73,73,59
1689480,3092197,0,0,1700000,1720440,422.9,0,0,1883,160,160,146
865144,1459795,0,0,1337267,1043848,317.2,0,0,2083,205,201,191
1421376,2569142,0,0,1700000,1467864,218.4,0,1,2448,207,194,193
1808600,2812120,0,0,1700000,1903400,491.9,0,1,2844,205,205,191
1542896,2876416,0,0,1700000,1498352,394.1,0,1,3168,243,207,190
1610568,2876416,0,0,1700000,1623208,385.5,0,1,3534,302,236,184
1604768,2876416,0,0,1700000,1697200,401.6,0,1,3906,349,268,179
1745280,2911158,0,0,1700000,1790976,431.7,0,1,4273,382,298,170
1695448,2952994,0,0,1700000,1763120,423.8,0,1,4569,403,326,172
1724376,2972889,0,0,1700000,1803360,429.9,0,1,4888,403,359,181
1761384,2972889,0,0,1700000,1797664,437.0,0,1,5197,426,390,173
1703856,3045232,0,0,1700000,1753784,428.8,0,1,5495,426,425,168
1736856,3067106,0,0,1700000,1805144,431.2,0,1,5815,426,426,161
1698424,3067106,0,0,1700000,1716752,425.2,0,1,6184,426,426,156
1672960,3067106,0,0,1700000,1759016,425.1,0,1,6508,426,426,158
1677592,3067106,0,0,1700000,1803864,425.2,0,1,6839,408,408,153
1628456,3067106,0,0,1700000,1678016,417.9,0,1,7190,372,372,152
1677096,3067106,0,0,1700000,1770144,426.0,0,1,7570,340,340,173
1669248,3067106,0,0,1700000,1797760,425.9,0,1,7868,299,299,170
1724000,3067106,0,0,1700000,1718128,431.2,0,1,8172,276,276,165
1711976,3067106,0,0,1700000,1769280,432.5,0,1,8455,257,257,165
1694456,3067106,0,0,1700000,1763880,425.7,0,1,8685,241,241,165
