bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1260792,3142500,0,0,1700000,1302728,201.7,0,0,123,29,29,15
1648696,3142500,0,0,1700000,1665000,405.7,0,0,373,39,39,18
1446688,3142500,0,0,1700000,1490336,402.1,0,0,669,54,54,28
1727192,3142500,0,0,1700000,1807384,461.1,0,0,933,48,48,24
1695144,3142500,0,0,1700000,1761776,437.9,0,0,1201,45,45,21
1738920,3142500,0,0,1700000,1739136,437.6,0,0,1456,45,45,21
1671120,3142500,0,0,1700000,1769536,438.1,0,0,1704,46,46,18
1667680,3142500,0,0,1700000,1748968,436.2,0,0,1968,68,68,18
1737200,3142500,0,0,1700000,1765064,443.4,0,0,2251,84,84,16
1784648,3142500,0,0,1700000,1803720,437.1,0,0,2538,100,100,14
1768608,3142500,0,0,1700000,1788136,445.1,0,0,2836,100,100,14
1709840,3142500,0,0,1700000,1763632,442.3,0,0,3136,116,116,13
1706064,3142500,0,0,1700000,1736952,441.1,0,0,3438,116,116,13
1748856,3142500,0,0,1700000,1768184,437.4,0,0,3761,116,116,19
1683016,3142500,0,0,1700000,1747440,435.8,0,0,4077,133,121,48
1675744,3142500,0,0,1700000,1771864,436.6,0,0,4443,133,133,41
1711952,3142500,0,0,1700000,1742176,440.6,0,0,4828,133,133,40
1715312,3142500,0,0,1700000,1764256,440.0,0,0,5170,133,133,38
1728512,3142500,0,0,1700000,1779920,441.7,0,0,5510,133,133,38
1708304,3142500,0,0,1700000,1732992,435.2,0,0,5812,133,133,40
1710880,3142500,0,0,1700000,1747008,439.9,0,0,6131,133,133,41
1681584,3142500,0,0,1700000,1760336,437.5,0,0,6498,133,133,49
